name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YGL178W	0.288889	0.0134526	3450.35	0.001	3.26448e-14	0
YGL195W	0.0933333	0.0221316	7937.22	4	0.0113746	0
YGR086C	0.124183	0.0181838	6691.9	0.001	9.08551e-14	0
YGR092W	0.107143	0.0137292	26137.2	14	0.273019	0
YGR134W	0.622222	0.0435742	2395.48	21	49.7637	0
YGR155W	0.133333	0.0142883	5679.66	0.001	3.15634e-14	1
YGR184C	0.186813	0.0358456	7624.33	4	0.150499	0
YJL130C	0.0760784	0.0131261	16343.9	0.001	3.69111e-14	0
YKR036C	0.110517	0.0279792	16006.1	16	4.44037	0
YLL013C	0.176471	0.0262513	5062.17	0.001	4.24238e-13	0
YLR180W	0.0473684	0.00869437	77289	0.001	2.09199e-14	0
YLR259C	0.0266272	0.00741008	210964	0.001	1.69366e-14	1
YNL025C	0.11746	0.014091	38578.5	16	0.731759	0
YNL071W	0.0708479	0.0117906	22542.7	5	0.00385816	0
YNL288W	0.472527	0.0171578	4641.84	26	3.34105	0
YNR052C	0.18	0.0221196	15036.7	42	48.0047	1
YOR027W	0.17619	0.0340512	3235.86	0.001	7.66486e-13	0
YPL042C	0.143939	0.018988	25571.5	17	2.35074	0
YPR072W	0.43956	0.0314336	2095.74	50	112.421	0
YAL022C	0.466667	0.106048	2126.9	0.001	1.25534e-10	0
YBR159W	0.085032	0.0153055	94650.2	0.001	4.4167e-13	0
YDR497C	0.25	0.0320952	5041.91	0.001	1.33751e-12	0
YGL132W	0.666667	0.266667	128.698	0.001	4.33866e-10	0
YJR117W	0.192034	0.0315188	12240.5	0.001	2.31985e-12	0
YAL023C	1	0.0938834	0	0.001	0	0
YAR027W	0.0938834	0.0307727	61176	0.001	5.15031e-12	0
YHR030C	0.0657216	0.013671	85378.2	0.001	1.95999e-13	0
YIR009W	0.0854701	0.0186689	31950.2	14	0.91022	0
YAL025C	0.5	0.114662	5053.92	0.001	4.36788e-10	1
YJR044C	1	0.5	0	0.001	0	0
YOR005C	0.195652	0.0276445	16189.1	5	0.231233	0
YOR267C	0.156472	0.0264093	13888.2	0.001	1.05709e-12	0
YAL026C	0.5	0.0944742	207.657	0.001	8.27121e-12	0
YAL053W	0.25	0.0361416	6767.69	0.001	2.88677e-12	0
YDL192W	0.152174	0.0248865	14743.9	8	0.440635	0
YPL146C	0.5	0.0524649	350.313	0.001	1.3271e-12	1
YAL027W	0.266667	0.0364904	556.467	0.001	2.631e-13	0
YBR196C	0.0316804	0.00771806	143678	0.001	1.61516e-14	1
YCL024W	0.378788	0.0283555	747.926	0.001	1.83148e-13	0
YDR174W	0.15	0.0152129	8333.64	0.001	6.69536e-14	0
YDR381W	0.12253	0.0228116	7791.95	2	0.00206822	1
YDR507C	0.263158	0.0174253	4275.44	0.001	1.03734e-13	0
YLR044C	0.0730769	0.0105865	43446.9	0.001	3.98791e-14	0
YML095C	0.123333	0.0237226	8396.37	10	0.327962	0
YOL086C	0.0869565	0.030592	12228.8	1	0.000931362	0
YPL022W	0.0656028	0.017664	65146.6	10	0.416072	0
YAL028W	0.5	0.0137702	1182.96	0.001	2.12666e-14	0
YBL050W	0.0853485	0.0220237	54462.5	9	0.797232	1
YDL239C	0.0855856	0.0149474	41199.9	0.001	1.76018e-13	0
YLR233C	0.0789916	0.0258421	26675.5	15	3.17159	0
YAL029C	0.176471	0.0265326	4138.21	7	0.124136	0
YBR081C	0.379447	0.0315703	3002.18	111	1547.65	0
YBR109C	0.0347339	0.0149507	142954	4	0.0158771	1
YBR130C	0.169935	0.0176878	15613.3	0.001	2.59703e-13	0
YGL106W	0.472222	0.0300752	452.794	0.001	1.74936e-13	1
YHR023W	0.212121	0.0244492	3110.47	9	0.171868	1
YKL130C	0.091133	0.0174122	32697.5	0.001	2.73908e-13	0
YLR249W	0.2	0.0353177	5047.44	6	0.339255	1
YMR139W	0.0739687	0.0141675	52592	0.001	1.56728e-13	0
YMR186W	0.0725689	0.0128524	32804.4	0.001	6.4957e-14	0
YMR309C	0.261905	0.0216598	5076.95	32	9.58991	1
YOR181W	0.077856	0.00885246	126509	39	3.58808	1
YAL030W	0.666667	0.136667	40.9677	3	0.257255	0
YDR468C	0.252747	0.0369019	5927.57	9	2.02529	1
YGR009C	0.205128	0.0119716	15788.3	3	0.00179613	1
YAL031C	0.666667	0.015384	385.243	0.001	1.43854e-14	0
YAL032C	0.229249	0.0163926	12978.5	30	5.80083	1
YBR017C	0.0342665	0.0124146	111488	0.001	9.07456e-14	0
YDL209C	0.428571	0.0699634	208.278	12	3.69567	1
YDR364C	0.833333	0.0846945	6.72493	4	0.0184547	1
YDR416W	0.308824	0.0148898	10361.4	25	2.45758	1
YGL120C	0.142857	0.0178457	29013.6	35	18.0237	1
YGL128C	0.9	0.0816456	6.58251	16	1.07826	1
YGR278W	0.266667	0.0399723	983.54	10	0.669575	1
YJL203W	0.17316	0.0199703	17379.8	47	49.6965	1
YKL095W	0.0931174	0.0232851	17832.8	0.001	4.88157e-13	1
YKL173W	0.272487	0.0198204	9503.8	93	321.469	1
YLL036C	0.47619	0.0597015	1330.12	42	596.155	1
YLR117C	0.25	0.0250877	18608.8	39	109.319	1
YLR338W	0.666667	0.162562	87.979	0.001	4.096e-11	0
YLR345W	0.285714	0.0204958	2332.8	0.001	1.17616e-13	0
YLR423C	0.043379	0.0111043	147061	0.001	9.69932e-14	0
YML049C	0.367647	0.0412162	1199.39	59	261.348	1
YMR213W	0.257246	0.0373873	9283.28	48	516.027	1
YMR288W	0.454545	0.0718732	355.005	38	236.282	1
YNL189W	0.0206093	0.008426	580540	13	0.132498	1
YOR036W	0.150327	0.0187609	11835	4	0.0141059	1
YPL151C	0.166008	0.0246109	8900.76	17	2.66327	1
YPL213W	0.25641	0.0241911	3877.32	36	15.8855	1
YAL033W	0.666667	0.158333	519.294	7	74.6287	1
YBR167C	0.222222	0.0466801	13637.2	49	1692.88	1
YJR115W	0.392857	0.017269	5593.89	0.001	1.9544e-13	0
YAL034C	0.4	0.0399582	559.119	2	0.0045612	0
YBR198C	0.114286	0.0158036	49301.3	148	1139.36	1
YGR274C	0.210753	0.028899	16685.3	104	2758.92	1
YOL004W	0.101587	0.0150194	46127.2	67	71.7176	0
YAL034W-A	0.333333	0.0102685	2756.01	2	8.17113e-05	1
YDL028C	0.0941176	0.0147186	36081.9	27	3.13704	1
