name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YGL172W	0.2185	0.0193	14751.6916	26.0000	7.8393	1
YGR120C	0.1895	0.0274	18673.2803	14.0000	5.4946	1
YKL103C	0.2424	0.0254	15690.8648	0.0010	0.0000	0
YAL035W	0.4773	0.0877	19779.0656	28.0000	12264.1221	1
YBR009C	0.1614	0.0832	40418.3530	15.0000	1057.2691	1
YBR079C	0.3285	0.0444	37700.2345	69.0000	15757.0118	1
YBR086C	0.9333	0.1903	1.0005	0.0010	0.0000	0
YBR143C	0.5833	0.0731	6639.1921	11.0000	146.8905	1
YDL213C	0.5556	0.0422	39893.1261	0.0010	0.0000	0
YDR101C	0.6213	0.0693	16055.3523	49.0000	27127.1231	0
YDR429C	0.4348	0.0943	20332.2949	37.0000	35366.9727	1
YDR496C	0.4482	0.0457	40956.2364	0.0010	0.0000	0
YGL049C	0.3509	0.1022	5407.1119	49.0000	24384.8177	0
YGL099W	0.5944	0.0799	16315.4082	0.0010	0.0000	1
YGR162W	0.4100	0.0759	16432.4387	66.0000	64154.7772	0
YJL109C	0.3630	0.0526	41340.4723	141.0000	322821.5300	1
YJR007W	0.4746	0.1084	6957.5945	66.0000	130999.1246	1
YLR106C	0.5513	0.0527	26106.7735	0.0010	0.0000	1
YLR192C	0.6429	0.1228	1608.0480	3.0000	6.3431	0
YLR241W	0.5000	0.3718	9358.0338	0.0010	0.0000	0
YLR409C	0.4135	0.0429	34759.0076	96.0000	43095.0371	1
YMR012W	0.2756	0.0743	23067.3836	5.0000	24.2055	0
YMR049C	0.5477	0.0227	54405.7585	0.0010	0.0000	1
YMR116C	0.5370	0.0838	71902.5154	425.0000	145989275.0082	0
YMR146C	0.6275	0.1591	2012.5133	45.0000	73778.7747	1
YMR290C	0.5405	0.0589	10105.7192	0.0010	0.0000	1
YMR309C	0.5108	0.0587	12979.5960	47.0000	8157.8461	1
YMR310C	0.4421	0.0825	18405.9506	0.0010	0.0000	0
YNL002C	0.6728	0.0616	7245.0785	41.0000	4840.1671	1
YNL132W	0.4656	0.0576	15342.5984	0.0010	0.0000	1
YOL041C	0.4094	0.0461	21167.3720	0.0010	0.0000	0
YOL077C	0.4102	0.0480	22555.7334	0.0010	0.0000	1
YOR206W	0.4480	0.0412	36465.7738	70.0000	16087.5247	1
YOR361C	0.4848	0.0518	24880.2899	44.0000	7406.5931	1
YPL012W	0.3745	0.0367	43888.8664	82.0000	16442.1296	1
YPL093W	0.4296	0.0307	95175.8755	46.0000	3520.7819	1
YPR041W	0.6912	0.1498	1538.6066	46.0000	52058.9386	1
YAL036C	0.2418	0.1837	7731.0410	0.0010	0.0000	0
YCL037C	0.5128	0.1929	2372.5508	6.0000	364.2329	0
YCR038C	0.4000	0.0796	950.2805	0.0010	0.0000	0
YDL051W	0.6587	0.1017	8115.2020	13.0000	1254.3979	0
YDL065C	0.1714	0.0203	31280.9415	0.0010	0.0000	0
YDR152W	0.5000	0.0075	4720.6480	0.0010	0.0000	0
YGR250C	0.5000	0.0768	614.9604	0.0010	0.0000	0
YJL138C	0.2762	0.0662	21871.5124	36.0000	5414.5437	0
YLR150W	0.4000	0.0491	8777.9074	0.0010	0.0000	0
YLR175W	0.4462	0.0264	73345.0841	54.0000	2506.2709	1
YNR022C	0.6667	0.1026	169.4474	0.0010	0.0000	0
YOR243C	0.4545	0.1622	542.6957	0.0010	0.0000	0
YAL038W	0.5000	0.2500	4644.3790	1.0000	9.0711	1
YNL307C	0.4000	0.2763	8652.1525	0.0010	0.0000	0
YOR226C	0.6667	0.2857	2323.9443	0.0010	0.0000	0
YOR347C	1.0000	0.5000	0.0000	1.0000	0.0000	0
YAL040C	0.2500	0.0358	7111.3854	3.0000	0.0785	0
YBR160W	0.1196	0.0788	47040.8619	22.0000	2309.0454	1
YJL013C	0.2857	0.0670	3993.7791	2.0000	0.1844	0
YJL157C	0.3091	0.0260	10370.9327	2.0000	0.0118	1
YJR132W	0.2000	0.0703	5583.1520	2.0000	0.2184	0
YLL021W	0.1667	0.1016	23913.0145	5.0000	53.1872	0
YPL014W	1.0000	0.2500	0.0000	0.0010	0.0000	0
YAL041W	0.1520	0.0202	37245.3858	2.0000	0.0075	1
YER114C	0.2308	0.0079	24648.4007	0.0010	0.0000	0
YGL052W	1.0000	0.1520	0.0000	0.0010	0.0000	0
YGL127C	0.0340	0.0187	261217.5449	16.0000	4.4352	0
YGL233W	0.4848	0.0485	4900.9811	13.0000	28.7831	1
YGR152C	0.5333	0.0734	13749.7353	0.0010	0.0000	0
YGR221C	0.6667	0.0966	223.7427	0.0010	0.0000	0
YGR268C	0.1648	0.0172	22642.1566	0.0010	0.0000	0
YHL007C	0.2308	0.0503	17079.2110	1.0000	0.0253	0
YIL079C	0.6667	0.1100	186.3267	0.0010	0.0000	0
YJL008C	0.6000	0.0455	7747.7528	21.0000	185.2071	1
YJL187C	0.4000	0.0590	1090.7338	0.0010	0.0000	0
YLR206W	0.6667	0.0847	155.7492	0.0010	0.0000	0
YLR229C	0.2222	0.0345	9841.0168	1.0000	0.0031	1
YMR298W	0.5000	0.0580	900.4190	0.0010	0.0000	1
YOR212W	0.2273	0.0550	17010.5029	9.0000	25.8257	0
YPL161C	0.1385	0.0363	27818.2705	0.0010	0.0000	0
YAL042W	1.0000	0.0762	0.0000	0.0010	0.0000	0
YAL043C	0.4333	0.1182	20850.5714	43.0000	140229.3043	1
YDL014W	0.4554	0.0488	36236.9712	102.0000	99351.2987	1
YDL195W	0.5128	0.1178	4528.0124	31.0000	13306.3961	1
YDR301W	0.7821	0.1154	279.4800	49.0000	4564.1219	1
YDR311W	0.1188	0.0198	104589.8616	103.0000	2097.2692	1
YGL044C	0.1847	0.0392	35455.1118	44.0000	1318.6244	1
YGR156W	0.5000	0.2733	9083.0000	2.0000	202.7961	1
YJR093C	0.5810	0.0512	6544.3671	51.0000	3470.2003	1
YKL018W	0.3143	0.0981	7319.6727	28.0000	4673.5076	1
YKR002W	0.6154	0.0913	2428.0491	18.0000	605.9254	1
YLR115W	0.5425	0.1709	1743.6376	49.0000	94934.0352	1
YLR277C	0.4261	0.1325	12924.8129	53.0000	252345.5052	1
YMR182C	0.6667	0.3529	1648.4183	0.0010	0.0000	0
YNL317W	0.3571	0.1297	11846.8003	19.0000	8212.9611	1
YNR054C	0.6623	0.0942	14067.6769	30.0000	19804.5120	1
YOR250C	0.6154	0.0743	3811.5470	39.0000	4242.8210	1
YAL044C	1.0000	0.1684	0.0000	3.0000	0.0000	0
YDR019C	1.0000	0.1684	0.0000	3.0000	0.0000	0
YFL018C	0.1684	0.0182	41113.4831	18.0000	4.4670	0
YMR189W	1.0000	0.1684	0.0000	3.0000	0.0000	0
YAL045C	1.0000	0.3138	0.0000	0.0010	0.0000	0
YJR063W	0.3138	0.0507	63190.2202	42.0000	9709.1643	0
YAL047C	0.1524	0.0339	32540.1498	8.0000	3.3530	0
YCL032W	0.0667	0.0261	79642.8329	0.0010	0.0000	0
YEL061C	0.2857	0.0234	6783.5636	2.0000	0.0046	0
YGL212W	0.1520	0.0293	27676.0797	10.0000	3.1007	0
YGR218W	0.0497	0.0125	180443.0474	8.0000	0.1136	1
YHR172W	0.4762	0.0063	14052.7075	10.0000	0.0105	1
YIL026C	0.4286	0.0721	5701.0374	14.0000	180.7262	1
YIL061C	0.2315	0.0274	132503.0485	250.0000	268774.0841	1
YLR045C	0.5000	0.0190	1134.1036	8.0000	0.0380	1
YLR429W	0.3333	0.0417	3082.5580	3.0000	0.0836	0
YMR047C	0.0207	0.0176	696959.7512	35.0000	59.4006	1
YNL126W	0.6000	0.1100	4939.0705	12.0000	749.7405	1
YNL188W	0.5000	0.0882	935.5442	9.0000	20.6104	1
YAL049C	1.0000	0.1238	0.0000	0.0010	0.0000	0
YNL094W	0.1238	0.0239	43805.7804	0.0010	0.0000	0
YAL051W	1.0000	0.6667	0.0000	3.0000	0.0000	0
YOR363C	0.6667	0.3214	4542.0000	3.0000	872.6851	0
YAL054C	0.5000	0.0199	2632.7083	0.0010	0.0000	0
YHR041C	0.1894	0.0977	53617.1101	46.0000	89994.3954	0
YLR049C	0.5000	0.0796	1097.3932	0.0010	0.0000	0
YAL055W	1.0000	0.0676	0.0000	0.0010	0.0000	0
YAL056W	1.0000	0.3214	0.0000	0.0010	0.0000	0
YER020W	0.4667	0.1868	6126.3539	0.0010	0.0000	0
YGL121C	0.4667	0.0706	5498.1104	0.0010	0.0000	0
YAL058W	1.0000	1.0000	0.0000	0.0010	0.0000	0
YOR236W	1.0000	1.0000	0.0000	0.0010	0.0000	1
YAL059W	1.0000	0.1842	0.0000	0.0010	0.0000	0
YER165W	0.1842	0.0230	26691.7786	21.0000	12.6909	1
YAL060W	1.0000	0.0224	0.0000	0.0010	0.0000	0
YAL062W	0.6667	0.0196	4021.2858	0.0010	0.0000	0
YLR267W	0.5000	0.0949	4645.3110	0.0010	0.0000	0
YAL064W	0.5000	0.0229	4419.4722	0.0010	0.0000	0
YHR114W	0.0212	0.0268	516486.6779	0.0010	0.0000	0
YKR011C	0.6667	0.1818	62.1026	0.0010	0.0000	0
YMR149W	0.5641	0.1351	6040.8026	14.0000	3113.2165	1
YAL064WB	1.0000	0.3333	0.0000	0.0010	0.0000	0
YPR126C	0.3333	0.0125	9751.2654	0.0010	0.0000	0
